Name,Description,Date,Start Time,End Time,Location,Organizer,Capacity
The Beauty of Mathematics,Examine the historical context of Biotechnology,2024-04-05,17:32,21:30,工学院南楼,Astronomy Club,105
The Power of Renewable Energy,Explore cutting-edge research in Artificial Intelligence,2024-04-08,12:50,16:43,三教107,计算机科学与技术,119
The Future of Work in the Digital Age,Learn about the challenges and opportunities in Artificial Intelligence,2024-04-14,15:38,19:52,三教107,数学系,58
Unraveling the Mysteries of Black Holes,Join us for an insightful discussion on the impact of Space Exploration,2024-04-05,17:38,21:03,理学院一楼化学系C1038,计算机科学与技术,86
The Power of Renewable Energy,Join us for an insightful discussion on the impact of Climate Change,2024-04-07,12:39,13:40,三教107,Astronomy Club,79
Exploring Quantum Entanglement,Discover the untold stories of Blockchain Technology,2024-04-10,14:44,19:16,文科楼报告厅,计算机科学与技术,10
The Cation Shuffle,Dive deep into the world of Renewable Energy,2024-04-12,09:20,13:25,理学院一楼化学系C1038,Astronomy Club,38
The Evolution of Human Consciousness,Embark on a journey through Renewable Energy,2024-04-11,14:50,19:26,图书馆报告厅,计算机科学与技术,154
Advancements in Genetic Engineering,Get a glimpse into the future with Space Exploration,2024-04-06,17:36,19:44,图书馆报告厅,Astronomy Club,28
The Beauty of Mathematics,Examine the historical context of Blockchain Technology,2024-04-07,11:39,15:38,三教107,数学系,147
Advancements in Genetic Engineering,Join us for an insightful discussion on the impact of Climate Change,2024-04-11,12:20,14:09,一科报告厅,Environmental Society,10
Revolutionizing Healthcare with Technology,Gain new insights into Climate Change,2024-04-11,09:51,13:22,图书馆报告厅,数学系,98
Exploring Quantum Entanglement,Join us for a deep dive into Biotechnology,2024-04-08,17:26,21:37,理学院一楼化学系C1038,Medical Association,11
The Beauty of Mathematics,This lecture will explore the latest advancements in the field of Artificial Intelligence,2024-04-14,09:59,11:35,工学院南楼,Medical Association,30
The Impact of Cybersecurity Threats,Explore cutting-edge research in Space Exploration,2024-04-05,18:11,19:37,工学院北楼,数学系,169
Unraveling the Mysteries of Black Holes,Get a behind-the-scenes look at Space Exploration,2024-04-12,15:12,18:54,润杨体育馆,数学系,72
The Evolution of Human Consciousness,Explore the impact of innovation on Renewable Energy,2024-04-13,14:37,16:07,工学院南楼,Medical Association,52
Exploring Quantum Entanglement,Embark on a journey through Blockchain Technology,2024-04-11,12:12,14:44,润杨体育馆,计算机科学与技术,35
The Ethics of AI and Robotics,Learn about the challenges and opportunities in Climate Change,2024-04-06,18:10,22:56,润杨体育馆,计算机科学与技术,133
The Future of Artificial Intelligence,Get a glimpse into the future with Biotechnology,2024-04-13,11:36,13:48,一科报告厅,Medical Association,174
Advancements in Genetic Engineering,Get inspired by Artificial Intelligence,2024-04-06,16:12,17:43,文科楼报告厅,Medical Association,36
The Future of Artificial Intelligence,Join us for a deep dive into Biotechnology,2024-04-08,13:49,17:29,工学院南楼,Environmental Society,7
Understanding Dark Matter,Discover the future of technology with this fascinating lecture on Renewable Energy,2024-04-07,13:35,15:00,理学院一楼化学系C1038,Environmental Society,39
The Art of Public Speaking,This lecture will explore the latest advancements in the field of Space Exploration,2024-04-12,16:13,19:57,理学院一楼化学系C1038,Astronomy Club,183
Unlocking the Secrets of the Human Brain,Get a glimpse into the future with Artificial Intelligence,2024-04-05,09:09,12:45,理学院一楼化学系C1038,Environmental Society,133
Unlocking the Secrets of the Human Brain,Examine the historical context of Climate Change,2024-04-12,14:38,17:50,工学院南楼,计算机科学与技术,146
The Future of Artificial Intelligence,Get a glimpse into the future with Renewable Energy,2024-04-11,14:43,17:42,图书馆报告厅,Medical Association,20
Advancements in Genetic Engineering,Discover the untold stories of Renewable Energy,2024-04-05,15:39,20:26,理学院一楼化学系C1038,Medical Association,117
Exploring Quantum Entanglement,Examine the historical context of Blockchain Technology,2024-04-10,16:02,20:05,文科楼报告厅,Environmental Society,184
The Role of Big Data in Society,Learn about the evolution of Climate Change,2024-04-14,12:59,14:52,工学院南楼,Astronomy Club,144
Understanding Dark Matter,Examine the historical context of Climate Change,2024-04-12,09:24,13:13,三教108,计算机科学与技术,165
The Art of Public Speaking,Embark on a journey through Climate Change,2024-04-13,12:39,15:48,图书馆报告厅,数学系,36
Climate Change: Challenges and Solutions,Learn about the challenges and opportunities in Blockchain Technology,2024-04-11,16:06,21:03,文科楼报告厅,Medical Association,65
The Future of Work in the Digital Age,Join us for an insightful discussion on the impact of Renewable Energy,2024-04-09,16:22,20:36,文科楼报告厅,计算机科学与技术,92
Exploring Ancient Civilizations,This lecture will explore the latest advancements in the field of Artificial Intelligence,2024-04-09,11:20,13:44,工学院北楼,Environmental Society,165
Revolutionizing Healthcare with Technology,Get a glimpse into the future with Biotechnology,2024-04-14,12:02,15:01,理学院一楼化学系C1038,数学系,117
Unraveling the Mysteries of Black Holes,Uncover the mysteries of Artificial Intelligence,2024-04-14,09:52,11:09,三教107,数学系,115
The Beauty of Mathematics,Gain new insights into Renewable Energy,2024-04-06,09:25,11:10,图书馆报告厅,计算机科学与技术,47
Climate Change: Challenges and Solutions,Get inspired by Renewable Energy,2024-04-07,13:49,15:05,三教108,Astronomy Club,6
The Impact of Cybersecurity Threats,Get a glimpse into the future with Biotechnology,2024-04-10,12:46,14:01,工学院北楼,数学系,51
The Evolution of Human Consciousness,Discover the future of technology with this fascinating lecture on Blockchain Technology,2024-04-09,15:39,19:16,文科楼报告厅,数学系,86
The Art of Public Speaking,Uncover the mysteries of Biotechnology,2024-04-10,18:35,20:46,工学院南楼,Astronomy Club,180
The Beauty of Mathematics,Delve into the complexities of Space Exploration,2024-04-13,11:08,15:00,图书馆报告厅,数学系,27
The Future of Artificial Intelligence,Discover the future of technology with this fascinating lecture on Renewable Energy,2024-04-14,12:01,16:10,工学院北楼,计算机科学与技术,48
The Cation Shuffle,Discover the future of technology with this fascinating lecture on Space Exploration,2024-04-10,15:11,19:54,一科报告厅,Environmental Society,31
Exploring Ancient Civilizations,Explore the intersection of science and society in this engaging lecture on Blockchain Technology,2024-04-13,09:20,12:32,润杨体育馆,Environmental Society,70
The Power of Renewable Energy,Join us for a deep dive into Renewable Energy,2024-04-13,10:01,12:30,三教108,数学系,183
Exploring Quantum Entanglement,Discover the untold stories of Biotechnology,2024-04-07,10:06,13:56,三教108,Astronomy Club,120
Exploring Ancient Civilizations,Dive deep into the world of Space Exploration,2024-04-05,17:15,19:41,理学院一楼化学系C1038,Astronomy Club,40
The Cation Shuffle,Learn about the challenges and opportunities in Climate Change,2024-04-09,13:52,17:56,润杨体育馆,Astronomy Club,128
The Power of Renewable Energy,Get a behind-the-scenes look at Renewable Energy,2024-04-10,09:01,10:58,三教108,Astronomy Club,115
The Future of Artificial Intelligence,Explore the impact of innovation on Biotechnology,2024-04-13,13:57,16:53,三教107,Environmental Society,140
Exploring Quantum Entanglement,Join us for a deep dive into Space Exploration,2024-04-06,17:02,19:31,润杨体育馆,Medical Association,43
The Ethics of AI and Robotics,Uncover the mysteries of Climate Change,2024-04-09,14:38,18:19,三教108,Environmental Society,99
Exploring Quantum Entanglement,Explore the intersection of science and society in this engaging lecture on Space Exploration,2024-04-10,14:27,17:54,文科楼报告厅,Astronomy Club,139
The Art of Public Speaking,Discover the untold stories of Renewable Energy,2024-04-05,15:36,19:06,一科报告厅,Astronomy Club,119
Exploring Quantum Entanglement,Get inspired by Climate Change,2024-04-07,17:45,18:46,理学院一楼化学系C1038,计算机科学与技术,50
The Power of Renewable Energy,Learn about the evolution of Artificial Intelligence,2024-04-10,16:14,18:04,三教107,Medical Association,42
Advancements in Genetic Engineering,Uncover the mysteries of Blockchain Technology,2024-04-12,15:27,19:41,图书馆报告厅,数学系,120
The Art of Public Speaking,This lecture will explore the latest advancements in the field of Biotechnology,2024-04-14,09:01,11:09,三教107,数学系,75
Climate Change: Challenges and Solutions,Explore cutting-edge research in Renewable Energy,2024-04-08,15:18,19:22,一科报告厅,计算机科学与技术,96
Space Colonization: Challenges and Opportunities,Explore the intersection of science and society in this engaging lecture on Blockchain Technology,2024-04-08,09:32,11:01,工学院北楼,计算机科学与技术,88
The Evolution of Human Consciousness,Delve into the complexities of Artificial Intelligence,2024-04-05,16:29,20:17,图书馆报告厅,数学系,38
Unlocking the Secrets of the Human Brain,Explore the impact of innovation on Renewable Energy,2024-04-13,18:32,23:22,一科报告厅,Medical Association,67
The Future of Artificial Intelligence,Learn about the evolution of Space Exploration,2024-04-07,15:57,18:42,图书馆报告厅,计算机科学与技术,64
The Art of Public Speaking,Gain new insights into Blockchain Technology,2024-04-13,12:53,17:49,润杨体育馆,计算机科学与技术,55
The Cation Shuffle,Discover the future of technology with this fascinating lecture on Blockchain Technology,2024-04-13,18:53,21:27,图书馆报告厅,Astronomy Club,159
The Power of Renewable Energy,This lecture will explore the latest advancements in the field of Climate Change,2024-04-13,12:50,17:00,三教107,数学系,90
Revolutionizing Healthcare with Technology,Join us for a deep dive into Artificial Intelligence,2024-04-11,12:07,17:02,文科楼报告厅,Astronomy Club,52
The Beauty of Mathematics,Examine the historical context of Renewable Energy,2024-04-05,10:59,12:16,工学院南楼,Environmental Society,194
The Future of Artificial Intelligence,Dive deep into the world of Artificial Intelligence,2024-04-08,14:14,16:10,润杨体育馆,数学系,117
Exploring Quantum Entanglement,Learn about the challenges and opportunities in Biotechnology,2024-04-12,15:50,18:14,文科楼报告厅,Medical Association,10
The Role of Big Data in Society,Explore cutting-edge research in Blockchain Technology,2024-04-09,17:58,21:49,图书馆报告厅,Medical Association,79
Exploring Ancient Civilizations,Embark on a journey through Artificial Intelligence,2024-04-09,16:39,20:46,理学院一楼化学系C1038,Medical Association,132
Revolutionizing Healthcare with Technology,Explore the intersection of science and society in this engaging lecture on Biotechnology,2024-04-12,09:36,11:37,三教108,计算机科学与技术,155
Exploring Quantum Entanglement,Examine the historical context of Space Exploration,2024-04-14,15:51,17:25,工学院北楼,Astronomy Club,109
Exploring Ancient Civilizations,Uncover the mysteries of Biotechnology,2024-04-09,16:35,18:36,一科报告厅,Astronomy Club,99
Advancements in Genetic Engineering,Discover the untold stories of Artificial Intelligence,2024-04-13,10:19,13:48,三教108,Environmental Society,174
Revolutionizing Healthcare with Technology,Uncover the mysteries of Climate Change,2024-04-07,13:15,16:34,一科报告厅,数学系,11
Exploring Ancient Civilizations,Uncover the mysteries of Blockchain Technology,2024-04-13,13:04,16:22,一科报告厅,Astronomy Club,86
Advancements in Genetic Engineering,Gain new insights into Space Exploration,2024-04-14,15:07,19:54,三教108,Medical Association,82
The Impact of Cybersecurity Threats,Delve into the complexities of Artificial Intelligence,2024-04-08,10:43,12:03,工学院南楼,Medical Association,83
The Art of Public Speaking,Witness the revolution in Biotechnology,2024-04-14,13:15,15:44,工学院北楼,Environmental Society,200
The Role of Big Data in Society,Gain new insights into Renewable Energy,2024-04-14,16:24,17:54,文科楼报告厅,计算机科学与技术,96
Understanding Dark Matter,Get inspired by Climate Change,2024-04-05,17:27,21:00,润杨体育馆,Astronomy Club,192
Unraveling the Mysteries of Black Holes,Join us for an insightful discussion on the impact of Blockchain Technology,2024-04-11,17:32,20:49,工学院北楼,Medical Association,14
The Art of Public Speaking,Discover the future of technology with this fascinating lecture on Blockchain Technology,2024-04-10,14:44,16:16,三教108,Medical Association,133
The Beauty of Mathematics,Get a glimpse into the future with Climate Change,2024-04-10,15:45,20:22,文科楼报告厅,Environmental Society,133
Advancements in Genetic Engineering,Discover the untold stories of Biotechnology,2024-04-12,10:00,13:47,图书馆报告厅,数学系,110
The Role of Big Data in Society,Embark on a journey through Space Exploration,2024-04-13,09:19,13:55,三教107,计算机科学与技术,153
The Art of Public Speaking,Discover the untold stories of Renewable Energy,2024-04-12,15:38,17:22,文科楼报告厅,计算机科学与技术,91
Exploring Ancient Civilizations,Delve into the complexities of Climate Change,2024-04-08,11:11,15:32,一科报告厅,Medical Association,71
The Power of Renewable Energy,Join us for an insightful discussion on the impact of Blockchain Technology,2024-04-13,09:21,10:23,理学院一楼化学系C1038,数学系,39
The Cation Shuffle,Dive deep into the world of Artificial Intelligence,2024-04-10,18:16,20:27,三教108,计算机科学与技术,31
Exploring Quantum Entanglement,Witness the revolution in Renewable Energy,2024-04-08,18:46,22:34,润杨体育馆,数学系,198
The Art of Public Speaking,Discover the untold stories of Space Exploration,2024-04-11,09:11,13:08,润杨体育馆,Environmental Society,57
The Role of Big Data in Society,Explore cutting-edge research in Blockchain Technology,2024-04-14,16:12,19:03,图书馆报告厅,Environmental Society,54
Unlocking the Secrets of the Human Brain,Delve into the complexities of Blockchain Technology,2024-04-07,13:39,18:26,工学院南楼,计算机科学与技术,58
Exploring Ancient Civilizations,Dive deep into the world of Biotechnology,2024-04-13,12:27,15:27,三教107,Environmental Society,95
Understanding Dark Matter,Explore cutting-edge research in Biotechnology,2024-04-07,16:18,17:33,三教107,Environmental Society,150
The Beauty of Mathematics,Examine the historical context of Renewable Energy,2024-04-11,10:53,12:13,一科报告厅,Medical Association,116
The Power of Renewable Energy,Dive deep into the world of Artificial Intelligence,2024-04-12,15:48,17:44,图书馆报告厅,数学系,52
Unraveling the Mysteries of Black Holes,Uncover the mysteries of Biotechnology,2024-04-08,12:02,15:10,三教107,Medical Association,178
Exploring Quantum Entanglement,Get a behind-the-scenes look at Climate Change,2024-04-11,10:19,14:46,文科楼报告厅,计算机科学与技术,15
Exploring Ancient Civilizations,Explore the intersection of science and society in this engaging lecture on Artificial Intelligence,2024-04-10,14:06,18:47,理学院一楼化学系C1038,Astronomy Club,102
The Beauty of Mathematics,Discover the untold stories of Space Exploration,2024-04-07,18:32,19:41,工学院北楼,Astronomy Club,145
The Science of Happiness,This lecture will explore the latest advancements in the field of Blockchain Technology,2024-04-07,18:11,22:05,一科报告厅,计算机科学与技术,105
Exploring Quantum Entanglement,Discover the untold stories of Renewable Energy,2024-04-07,10:39,14:16,润杨体育馆,Medical Association,152
Space Colonization: Challenges and Opportunities,Explore cutting-edge research in Artificial Intelligence,2024-04-09,18:50,20:53,润杨体育馆,数学系,13
The Evolution of Human Consciousness,Explore the impact of innovation on Renewable Energy,2024-04-06,17:53,19:13,一科报告厅,数学系,171
The Role of Big Data in Society,Discover the future of technology with this fascinating lecture on Blockchain Technology,2024-04-05,15:37,19:53,一科报告厅,Environmental Society,150
Advancements in Genetic Engineering,Explore cutting-edge research in Biotechnology,2024-04-09,13:43,17:21,三教108,Medical Association,147
The Evolution of Human Consciousness,Explore the intersection of science and society in this engaging lecture on Climate Change,2024-04-10,16:38,18:01,三教107,Environmental Society,147
The Ethics of AI and Robotics,Delve into the complexities of Blockchain Technology,2024-04-06,15:17,16:28,理学院一楼化学系C1038,计算机科学与技术,20
Space Colonization: Challenges and Opportunities,Get a behind-the-scenes look at Renewable Energy,2024-04-05,15:41,18:03,图书馆报告厅,Environmental Society,148
The Impact of Cybersecurity Threats,Dive deep into the world of Blockchain Technology,2024-04-10,10:58,14:47,工学院南楼,Medical Association,83
Understanding Dark Matter,Uncover the mysteries of Biotechnology,2024-04-10,10:58,12:45,工学院北楼,Medical Association,179
Exploring Ancient Civilizations,This lecture will explore the latest advancements in the field of Artificial Intelligence,2024-04-09,18:19,22:25,三教108,Environmental Society,79
Exploring Quantum Entanglement,Explore the intersection of science and society in this engaging lecture on Biotechnology,2024-04-09,17:10,18:33,图书馆报告厅,Medical Association,149
Unraveling the Mysteries of Black Holes,Gain new insights into Climate Change,2024-04-08,16:56,21:26,图书馆报告厅,数学系,65
Climate Change: Challenges and Solutions,Examine the historical context of Biotechnology,2024-04-07,11:00,13:12,文科楼报告厅,Medical Association,112
The Science of Happiness,Get inspired by Biotechnology,2024-04-09,10:20,12:21,工学院南楼,Environmental Society,118
The Power of Renewable Energy,Embark on a journey through Climate Change,2024-04-05,15:48,19:30,工学院北楼,数学系,60
The Impact of Cybersecurity Threats,Gain new insights into Space Exploration,2024-04-06,11:56,14:13,三教107,计算机科学与技术,177
The Beauty of Mathematics,Learn about the evolution of Blockchain Technology,2024-04-08,15:32,18:20,三教107,Environmental Society,84
The Beauty of Mathematics,Join us for a deep dive into Artificial Intelligence,2024-04-14,11:11,14:43,三教107,Astronomy Club,115
Unraveling the Mysteries of Black Holes,Get a glimpse into the future with Space Exploration,2024-04-06,16:16,20:35,润杨体育馆,计算机科学与技术,44
The Role of Big Data in Society,Dive deep into the world of Renewable Energy,2024-04-10,12:25,14:31,工学院北楼,Astronomy Club,53
The Role of Big Data in Society,Learn about the challenges and opportunities in Blockchain Technology,2024-04-11,13:29,17:08,理学院一楼化学系C1038,计算机科学与技术,169
The Impact of Cybersecurity Threats,Get a glimpse into the future with Space Exploration,2024-04-14,15:35,18:33,图书馆报告厅,Astronomy Club,18
Unlocking the Secrets of the Human Brain,Witness the revolution in Biotechnology,2024-04-07,12:05,14:23,工学院北楼,Medical Association,150
The Science of Happiness,Discover the future of technology with this fascinating lecture on Climate Change,2024-04-06,18:32,21:54,工学院南楼,Environmental Society,72
The Future of Work in the Digital Age,Explore the intersection of science and society in this engaging lecture on Artificial Intelligence,2024-04-14,17:49,21:58,三教108,计算机科学与技术,91
Unraveling the Mysteries of Black Holes,Discover the untold stories of Climate Change,2024-04-05,11:57,15:39,文科楼报告厅,Environmental Society,69
Advancements in Genetic Engineering,Explore the intersection of science and society in this engaging lecture on Blockchain Technology,2024-04-14,17:56,20:05,润杨体育馆,Astronomy Club,118
The Beauty of Mathematics,Join us for an insightful discussion on the impact of Climate Change,2024-04-05,16:45,20:58,工学院北楼,Astronomy Club,75
Exploring Ancient Civilizations,Gain new insights into Renewable Energy,2024-04-08,12:05,13:33,文科楼报告厅,计算机科学与技术,155
The Evolution of Human Consciousness,Examine the historical context of Renewable Energy,2024-04-10,16:40,20:44,图书馆报告厅,数学系,142
Advancements in Genetic Engineering,Dive deep into the world of Artificial Intelligence,2024-04-13,15:37,20:08,三教108,Astronomy Club,133
The Power of Renewable Energy,Get a glimpse into the future with Renewable Energy,2024-04-05,18:16,21:45,图书馆报告厅,Medical Association,138
The Future of Work in the Digital Age,Delve into the complexities of Renewable Energy,2024-04-12,12:16,16:18,理学院一楼化学系C1038,数学系,181
The Future of Artificial Intelligence,Witness the revolution in Blockchain Technology,2024-04-08,18:09,19:59,三教108,Medical Association,111
The Power of Renewable Energy,Learn about the challenges and opportunities in Space Exploration,2024-04-08,13:50,16:18,文科楼报告厅,Environmental Society,135
The Science of Happiness,Delve into the complexities of Space Exploration,2024-04-09,17:53,21:12,润杨体育馆,Environmental Society,87
The Impact of Cybersecurity Threats,Embark on a journey through Biotechnology,2024-04-07,10:15,14:38,文科楼报告厅,数学系,130
The Cation Shuffle,Witness the revolution in Biotechnology,2024-04-09,12:33,14:33,工学院南楼,计算机科学与技术,36
The Beauty of Mathematics,Gain new insights into Renewable Energy,2024-04-14,15:14,16:28,三教108,Medical Association,102
The Power of Renewable Energy,Examine the historical context of Climate Change,2024-04-07,13:58,17:57,理学院一楼化学系C1038,Environmental Society,92
Understanding Dark Matter,Witness the revolution in Blockchain Technology,2024-04-14,15:21,20:14,图书馆报告厅,计算机科学与技术,45
The Cation Shuffle,Explore the intersection of science and society in this engaging lecture on Climate Change,2024-04-13,13:34,17:46,文科楼报告厅,计算机科学与技术,55
The Impact of Cybersecurity Threats,Uncover the mysteries of Artificial Intelligence,2024-04-06,18:53,22:32,理学院一楼化学系C1038,Environmental Society,52
The Evolution of Human Consciousness,Uncover the mysteries of Blockchain Technology,2024-04-12,17:27,18:36,工学院南楼,Medical Association,5
Exploring Ancient Civilizations,Witness the revolution in Blockchain Technology,2024-04-05,14:11,15:22,三教108,数学系,49
Unlocking the Secrets of the Human Brain,Learn about the evolution of Blockchain Technology,2024-04-14,13:43,17:37,文科楼报告厅,Medical Association,57
The Impact of Cybersecurity Threats,Get a glimpse into the future with Blockchain Technology,2024-04-07,10:27,15:23,工学院南楼,计算机科学与技术,116
Exploring Ancient Civilizations,Join us for an insightful discussion on the impact of Blockchain Technology,2024-04-13,14:46,17:00,三教108,Environmental Society,178
Climate Change: Challenges and Solutions,Delve into the complexities of Blockchain Technology,2024-04-12,09:24,13:41,工学院南楼,计算机科学与技术,191
The Beauty of Mathematics,Witness the revolution in Biotechnology,2024-04-06,16:57,20:32,图书馆报告厅,Astronomy Club,47
The Beauty of Mathematics,Delve into the complexities of Climate Change,2024-04-12,15:25,19:35,三教107,Environmental Society,168
